timestamp, index, uuid, name, driver_version, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/08/19 09:57:14.230, 0, GPU-78990023-5606-bb80-49bf-8ddfe8683461, NVIDIA L20, 580.159.03, 14 MiB, 46068 MiB, 0 %
2026/08/19 09:57:14.231, 1, GPU-231d8177-3abc-1ecc-1b7a-763683e5a393, NVIDIA L20, 580.159.03, 14 MiB, 46068 MiB, 0 %
