timestamp, index, uuid, name, driver_version, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/08/19 10:45:04.643, 0, GPU-78990023-5606-bb80-49bf-8ddfe8683461, NVIDIA L20, 580.159.03, 14 MiB, 46068 MiB, 0 %
2026/08/19 10:45:04.644, 1, GPU-231d8177-3abc-1ecc-1b7a-763683e5a393, NVIDIA L20, 580.159.03, 14 MiB, 46068 MiB, 0 %
