room,points,boundary_points,boundary_fraction,subset,method,count,accuracy,mean_class_accuracy,miou
5_office_28,52813,418,0.00791472,all,FlashKNN,52813,0.94671766,0.92584981,0.88556226
5_office_28,52813,418,0.00791472,all,ExactKNN,52813,0.94480526,0.93023889,0.88463567
5_office_28,52813,418,0.00791472,semantic_boundary,FlashKNN,418,0.63397129,0.60017614,0.42513928
5_office_28,52813,418,0.00791472,semantic_boundary,ExactKNN,418,0.67224880,0.56689861,0.43891028
5_office_28,52813,418,0.00791472,non_boundary,FlashKNN,52395,0.94921271,0.92992487,0.89195769
5_office_28,52813,418,0.00791472,non_boundary,ExactKNN,52395,0.94697967,0.93441655,0.89079083
5_hallway_2,289563,1704,0.00588473,all,FlashKNN,289563,0.94831522,0.91610260,0.49630924
5_hallway_2,289563,1704,0.00588473,all,ExactKNN,289563,0.92802257,0.88604306,0.42726842
5_hallway_2,289563,1704,0.00588473,semantic_boundary,FlashKNN,1704,0.77464789,0.61112933,0.26979375
5_hallway_2,289563,1704,0.00588473,semantic_boundary,ExactKNN,1704,0.79988263,0.54624314,0.25483141
5_hallway_2,289563,1704,0.00588473,non_boundary,FlashKNN,287859,0.94934325,0.91747450,0.49748529
5_hallway_2,289563,1704,0.00588473,non_boundary,ExactKNN,287859,0.92878110,0.88737090,0.42820763
5_hallway_10,78126,483,0.00618232,all,FlashKNN,78126,0.99034892,0.97565462,0.97061094
5_hallway_10,78126,483,0.00618232,all,ExactKNN,78126,0.98711056,0.96893757,0.96297212
5_hallway_10,78126,483,0.00618232,semantic_boundary,FlashKNN,483,0.89026915,0.49112749,0.24618736
5_hallway_10,78126,483,0.00618232,semantic_boundary,ExactKNN,483,0.90062112,0.45748021,0.24407967
5_hallway_10,78126,483,0.00618232,non_boundary,FlashKNN,77643,0.99097150,0.97649142,0.97246725
5_hallway_10,78126,483,0.00618232,non_boundary,ExactKNN,77643,0.98764860,0.96985641,0.96458094
5_office_7,58197,679,0.01166727,all,FlashKNN,58197,0.94171521,0.89690149,0.85433659
5_office_7,58197,679,0.01166727,all,ExactKNN,58197,0.93456707,0.90509552,0.85524939
5_office_7,58197,679,0.01166727,semantic_boundary,FlashKNN,679,0.58173785,0.52170186,0.37512881
5_office_7,58197,679,0.01166727,semantic_boundary,ExactKNN,679,0.57731959,0.50642218,0.36627044
5_office_7,58197,679,0.01166727,non_boundary,FlashKNN,57518,0.94596474,0.90092738,0.86081993
